R,I,B_bar
-7.422487728,-3.422487728,43.15620653
-6.922487728,-3.422487728,47.71552239
-6.422487728,-3.422487728,49.22689346
-5.922487728,-3.422487728,48.38414869
-5.422487728,-3.422487728,46.47053337
-4.922487728,-3.422487728,44.58634265
-4.422487728,-3.422487728,43.49801769
-3.922487728,-3.422487728,43.89269847
-3.422487728,-3.422487728,47.66812716
-2.922487728,-3.422487728,63.24697347
-2.422487728,-3.422487728,83.27776962
-1.922487728,-3.422487728,99.16149407
-1.422487728,-3.422487728,103.8814448
-0.922487728,-3.422487728,89.95509057
-10.92248773,-2.922487728,18.8481714
-10.42248773,-2.922487728,19.21945719
-9.922487728,-2.922487728,20.01417359
-9.422487728,-2.922487728,21.60667356
-8.922487728,-2.922487728,24.55459056
-8.422487728,-2.922487728,29.3679243
-7.922487728,-2.922487728,35.75809108
-7.422487728,-2.922487728,42.04719548
-6.922487728,-2.922487728,46.16430316
-6.422487728,-2.922487728,47.33119045
-5.922487728,-2.922487728,46.25851793
-5.422487728,-2.922487728,44.17846259
-4.922487728,-2.922487728,42.11167566
-4.422487728,-2.922487728,40.71532009
-3.922487728,-2.922487728,40.43598571
-3.422487728,-2.922487728,41.81959035
-2.922487728,-2.922487728,46.93201364
-2.422487728,-2.922487728,65.06113006
-1.922487728,-2.922487728,84.93047074
-1.422487728,-2.922487728,95.03209617
-0.922487728,-2.922487728,86.07996091
-10.92248773,-2.422487728,18.66740207
-10.42248773,-2.422487728,19.03035954
-9.922487728,-2.422487728,19.80554239
-9.422487728,-2.422487728,21.35209614
-8.922487728,-2.422487728,24.19268317
-8.422487728,-2.422487728,28.77543798
-7.922487728,-2.422487728,34.76121858
-7.422487728,-2.422487728,40.52128332
-6.922487728,-2.422487728,44.13463624
-6.422487728,-2.422487728,44.94348491
-5.922487728,-2.422487728,43.66973392
-5.422487728,-2.422487728,41.48307892
-4.922487728,-2.422487728,39.32370412
-4.422487728,-2.422487728,37.76799741
-3.922487728,-2.422487728,37.15492783
-3.422487728,-2.422487728,37.77088001
-2.922487728,-2.422487728,40.12307959
-2.422487728,-2.422487728,46.44806791
-1.922487728,-2.422487728,66.05657713
-1.422487728,-2.422487728,82.37338695
-0.922487728,-2.422487728,80.17967255
-10.92248773,-1.922487728,18.32246255
-10.42248773,-1.922487728,18.67192324
-9.922487728,-1.922487728,19.41610587
-9.422487728,-1.922487728,20.89231223
-8.922487728,-1.922487728,23.5766162
-8.422487728,-1.922487728,27.84207491
-7.922487728,-1.922487728,33.3009891
-7.422487728,-1.922487728,38.406983
-6.922487728,-1.922487728,41.4336069
-6.422487728,-1.922487728,41.86274678
-5.922487728,-1.922487728,40.41686833
-5.422487728,-1.922487728,38.18330649
-4.922487728,-1.922487728,36.00965126
-4.422487728,-1.922487728,34.39577939
-3.922487728,-1.922487728,33.60967825
-3.422487728,-1.922487728,33.83210076
-2.922487728,-1.922487728,35.29113806
-2.422487728,-1.922487728,38.48662944
-1.922487728,-1.922487728,45.70131036
-1.422487728,-1.922487728,64.58345714
-0.922487728,-1.922487728,71.17263705
-10.92248773,-1.422487728,17.68042514
-10.42248773,-1.422487728,18.00731425
-9.922487728,-1.422487728,18.70056148
-9.422487728,-1.422487728,20.06475282
-8.922487728,-1.422487728,22.51142125
-8.422487728,-1.422487728,26.32015588
-7.922487728,-1.422487728,31.06161875
-7.422487728,-1.422487728,35.32450219
-6.922487728,-1.422487728,37.64211587
-6.422487728,-1.422487728,37.66045822
-5.922487728,-1.422487728,36.08245579
-5.422487728,-1.422487728,33.87950253
-4.922487728,-1.422487728,31.78219328
-4.422487728,-1.422487728,30.20516079
-3.922487728,-1.422487728,29.35483663
-3.422487728,-1.422487728,29.35000159
-2.922487728,-1.422487728,30.31262971
-2.422487728,-1.422487728,32.44821504
-1.922487728,-1.422487728,36.20275566
-1.422487728,-1.422487728,43.53370058
-0.922487728,-1.422487728,57.13606861
-10.92248773,-0.922487728,16.35213795
-10.42248773,-0.922487728,16.63704429
-9.922487728,-0.922487728,17.23729805
-9.422487728,-0.922487728,18.40371335
-8.922487728,-0.922487728,20.45145137
-8.422487728,-0.922487728,23.53961404
-7.922487728,-0.922487728,27.22053848
-7.422487728,-0.922487728,30.31769228
-6.922487728,-0.922487728,31.73343744
-6.422487728,-0.922487728,31.30930688
-5.922487728,-0.922487728,29.68477093
-5.422487728,-0.922487728,27.65189202
-4.922487728,-0.922487728,25.77773284
-4.422487728,-0.922487728,24.36860578
-3.922487728,-0.922487728,23.56528933
-3.422487728,-0.922487728,23.43856646
-2.922487728,-0.922487728,24.05377054
-2.422487728,-0.922487728,25.51114191
-1.922487728,-0.922487728,27.9722383
-1.422487728,-0.922487728,31.67818697
-0.922487728,-0.922487728,37.36908459
