"w","gs"
0.3391334297574,0
0.345742095459826,0.0103023772394098
0.352350761162252,0.0198237491833952
0.358959426864678,0.0286365053451567
0.365568092567104,0.0368051613576785
0.37217675826953,0.0443873376474792
0.378785423971956,0.0514346018004402
0.385394089674382,0.0579931955781133
0.392002755376808,0.0641046640270092
0.398611421079234,0.0698064012448874
0.40522008678166,0.0751321250031032
0.411828752484086,0.0801122904743432
0.418437418186512,0.0847744517023989
0.425046083888938,0.0891435781124468
0.431654749591364,0.0932423322464829
0.43826341529379,0.0970913139787182
0.444872080996216,0.100709275687231
0.451480746698642,0.104113312204559
0.458089412401068,0.107319028819654
0.464698078103494,0.110340690139168
0.47130674380592,0.113191352223017
0.477915409508346,0.115882980075721
0.484524075210772,0.118426552291533
0.491132740913198,0.120832154409686
0.497741406615624,0.123109062329658
0.50435007231805,0.125265816959587
0.510958738020476,0.127310291119375
0.517567403722902,0.129249749589569
0.524176069425328,0.131090903084847
0.530784735127754,0.132839956833942
0.53739340083018,0.134502654363978
0.544002066532606,0.136084317014555
0.550610732235032,0.137589879643817
0.557219397937458,0.1390239229339
0.563828063639884,0.140390702655368
0.57043672934231,0.141694176208555
0.577045395044736,0.142938026723287
0.583654060747162,0.144125684966557
0.590262726449588,0.145260349279741
0.596871392152014,0.146345003742401
0.60348005785444,0.147382434738106
0.610088723556866,0.148375246078662
0.616697389259292,0.149325872826393
0.623306054961718,0.150236593939265
0.629914720664144,0.151109543850553
0.63652338636657,0.15194672308313
0.643132052068996,0.152750007988194
0.649740717771422,0.153521159689074
0.656349383473848,0.154261832302659
0.662958049176274,0.15497358050377
0.6695667148787,0.155657866491348
0.676175380581126,0.156316066409588
0.682784046283552,0.156949476272047
0.689392711985978,0.157559317432152
0.696001377688404,0.158146741639457
0.70261004339083,0.158712835717347
0.709218709093256,0.159258625894582
0.715827374795682,0.159785081820176
0.722436040498108,0.160293120288457
0.729044706200534,0.160783608698825
0.73565337190296,0.161257368272595
0.742262037605386,0.16171517704749
0.748870703307812,0.162157772668614
0.755479369010238,0.162585854993332
0.762088034712664,0.163000088526111
0.76869670041509,0.163401104698293
0.775305366117516,0.163789504006768
0.781914031819942,0.164165858024689
0.788522697522368,0.164530711296723
0.795131363224794,0.164884583130793
0.80174002892722,0.165227969297962
0.808348694629646,0.165561343651914
0.814957360332072,0.165885159679583
0.821566026034498,0.16619985199476
0.828174691736924,0.166505837787126
0.83478335743935,0.166803518240141
0.841392023141776,0.167093279932677
0.848000688844202,0.167375496241371
0.854609354546628,0.167650528763618
0.861218020249054,0.167918728785152
0.86782668595148,0.168180438821826
0.874435351653906,0.168435994273041
0.881044017356332,0.168685725235269
0.887652683058758,0.168929958539769
0.894261348761184,0.169169020101083
0.90087001446361,0.169403237695879
0.907478680166036,0.169632944340905
0.914087345868462,0.169858482514022
0.920696011570888,0.170080209580085
0.927304677273314,0.170298504973773
0.93391334297574,0.170513780009412
0.940522008678166,0.17072649174104
0.947130674380592,0.170937163304739
0.953739340083018,0.171146415122168
0.960348005785444,0.171355015370831
0.96695667148787,0.171563967209354
0.973565337190296,0.171774673177497
0.980174002892722,0.171989284715003
0.986782668595148,0.172211594392624
0.993391334297574,0.172450196612409
1,0.17275791030987
