"k","MAP","wL","P50","pxmin","pxgs50"
0.1,365,0.147401904840064,-4.35187706271938,-6.92809010156315,-3.46483505078157
0.2,365,0.146126068554209,-4.35187706271938,-7.19697113789961,-3.5992755689498
0.4,365,0.144859396927359,-4.35187706271938,-7.47671213488858,-3.73914606744429
0.1,1825,0.151731441905643,-4.35187706271938,-6.10303730894384,-3.05230865447192
0.2,1825,0.150989633711995,-4.35187706271938,-6.23546219861403,-3.11852109930702
0.4,1825,0.150662874232473,-4.35187706271938,-6.29491281279796,-3.14824640639898
0.1,3650,0.154109266245108,-4.35187706271938,-5.70121147140201,-2.85139573570101
0.2,3650,0.153572660760691,-4.35187706271938,-5.78898156241393,-2.89528078120696
0.4,3650,0.153408707936843,-4.35187706271938,-5.81612904271312,-2.90885452135656
