"ps","gs"
-5.09476220098749,0.0289641677116338
-4.81482879980122,0.0355558824190557
-4.55438739171458,0.0424588137233671
-4.31177490736294,0.0495073683537837
-4.0854950285149,0.0565573755515029
-3.87419905576338,0.0634979082646918
-3.67666923926988,0.0702543067884399
-3.491804222059,0.0767839592230239
-3.31860629984681,0.0830649704724378
-3.15617024670845,0.089107952149692
-3.00367349370218,0.0949048676294792
-2.86036747920559,0.100473736649875
-2.7255700162663,0.105827037163165
-2.59865854460627,0.110977979529986
-2.47906415376098,0.115938934475967
-2.36626627977179,0.120721028509027
-2.25978799136186,0.125334258469143
-2.15919179301031,0.129787451165278
-2.06407588212301,0.134088346683241
-1.97407080585255,0.13824383089512
-1.88883647026824,0.142260071570458
-1.80805946070852,0.146142642067071
-1.73145063741641,0.149896626112283
-1.65874297509605,0.153526719932679
-1.58968961894336,0.157037293547566
-1.52406213308824,0.160432475495145
-1.46164892031735,0.163716166991108
-1.4022537944903,0.166892106869361
-1.34569468927327,0.169963872701251
-1.29180248873987,0.172934927496512
-1.24041996706838,0.175808621624442
-1.19140082603251,0.178588198829659
-1.14460882026679,0.181276798169091
-1.09991696141353,0.183877501884995
-1.05720679324684,0.186393279728681
-1.01636773073759,0.18882704491778
-0.97729645678865,0.191181621043946
-0.93989637104407,0.193459736005947
-0.904077085771608,0.195664078694779
-0.869753964344598,0.197797237900058
-0.836847698315434,0.199861745241374
-0.805283919486339,0.201860025190915
-0.774992843749957,0.203794463722531
-0.745908943798407,0.205667346685628
-0.717970648089587,0.207480905820717
-0.691120063717977,0.209237301898529
-0.665302721067712,0.210938619669956
-0.640467338331464,0.212586844207123
-0.616565604162628,0.214183968548149
-0.593551976892806,0.215731840525384
-0.571383498893913,0.21723230312826
-0.550019624796269,0.218687078741034
-0.529422062392402,0.22009788406653
-0.509554625162586,0.221466345528285
-0.490383095453509,0.222794028289323
-0.471875097427149,0.224082461336466
-0.453999978973944,0.225333126526904
-0.436728701853395,0.226547383386925
-0.420033739387346,0.227726637629149
-0.403888981086749,0.228872192305144
-0.388269643642527,0.22998529984496
-0.373152187755523,0.231067196622801
-0.358514240319975,0.232119025569889
-0.344334521509771,0.233141966227612
-0.33059277634715,0.23413707728847
-0.317269710359756,0.235105447775883
-0.304346928953977,0.236048059735751
-0.291806880150466,0.2369659304677
-0.279632800341355,0.237859999950842
-0.267808662737727,0.238731188213961
-0.256319128179965,0.239580379633097
-0.245149497982008,0.240408474582337
-0.234285668472194,0.241216284443105
-0.223714086877155,0.242004606162998
-0.213421708168999,0.242774283079233
-0.203395952457308,0.243526062343261
-0.193624662452567,0.244260686887986
-0.18409606045133,0.244978947852135
-0.174798704188512,0.245681512924636
-0.165721440758169,0.246369128047417
-0.156853357605899,0.247042505754172
-0.148183729321406,0.247702336765697
-0.139701958575527,0.248349358725341
-0.131397509001899,0.248984247477811
-0.123259827041045,0.249607774168257
-0.115278248620241,0.250220607036531
-0.107441884834642,0.25082355366968
-0.0997394781877747,0.251417414603627
-0.0921592168638829,0.252003030057007
-0.0846884879088536,0.252581329260524
-0.0773135391755879,0.253153310671919
-0.0700190007215193,0.25372017315738
-0.0627871813937081,0.254283212896224
-0.0555969888893511,0.254844056840473
-0.0484221820997908,0.255404761879368
-0.0412283499585047,0.255968014894447
-0.0339672168563287,0.256537583438229
-0.0265645364681094,0.257119388311636
-0.018889192122419,0.257723798965559
-0.0106437579876511,0.258374435308536
0,0.259216383813365
